DATES,SENDER,ARTICLE CONTENT,SENTIMENT
[\nJul 20\n],AGNES FIREBASE,"[BY Bobi Wine\n\nWe spent today in parts of Acholi sub-region, connecting with the great people from that part of Uganda. The people of Apaa are still hurting because Government decided to rob them of their greatest possession - land. \n#people power #our powerpic.twitter.com/bupMUmAF29]",0.5666666666666668
[\nJul 24\n],Kamau  🇰🇪,[Weuh! you click on #bobiwine trend and all major news Channels are talking about him ],0.0625
[\nJul 24\n],Mark Harbaugh,[Ugandan pop star Bobi Wine to run against Yoweri Museveni https://www.bbc.com/news/world-africa-49095214\xa0\u2026 #SmartNews\n\nUgandans need a change. @HEBobiwine.],0.0
[\nJul 24\n],Javan Onguru™  🇰🇪 🇺🇬 🇹🇿,[BREAKING: Bobi Wine declares 2021 presidential bid.\n\n#uganda #UOTpic.twitter.com/iq0yRzphm3],0.0
[\nJul 24\n],Ssenyonjo Yasin,[We love u bobiwine],0.5
[\nJul 24\n],Kigen Kibet Msc,[I just want to vote for Bobi Wine come 2021. I'll be officially a Ugandan living in Kenya. \n\nRevolution is coming pic.twitter.com/rLVVOudGo5],0.0
[\nJul 24\n],Hot 96 FM Kenya,[Ugandan musician and opposition MP Bobi Wine announces presidential bid for the 2021 election and challenge President Yoweri Museveni. pic.twitter.com/XhrkVbqnDq],0.0
[\nJul 24\n],Niky bobic,[People power our power vote president bobiwine aka Robert kyagulanyi ssentamu am just really happy to hear frm my president],0.8
[\nJul 24\n], 🌸 Easy  🖕🏽 Vic  👣,[See how i will move when #bobiwine wins\n#MagerePresser\n#RobertKyagulanyiForPresident2021\n#PeoplePower\n#FreeStellaNyanzipic.twitter.com/jmXQa8ixaO],0.0
[\nJul 24\n],Banac Charles,"[thanks Bobiwine, #BikwaseKyagulanyi https://www.facebook.com/100001369954079/posts/2253723874683256/\xa0\u2026]",0.2
[\nJul 24\n],Kxng Devork,"[Finally, the Big Announcement Has Been Made. Here are the notable factors;\n1. Bobi Wine will contest for president\n2. No force will stop him\n3. He is the tenth president of the republic of Uganda\n4. He's undoubtedly the people's favorate\n5. He's the new hope of changes. pic.twitter.com/FiRhOSy4v0]",0.1590909090909091
[\nJul 24\n],Nile Post,[LIVE VIDEO: Bobi Wine unveils team ahead of 2021 elections. http://bit.ly/30UlH8G\xa0\n@nbstvpic.twitter.com/quZzzDjJ7b],0.13636363636363635
[\nJul 24\n],Sultan Mayen,"[Liberation and freedom do not come on a golden plate,you shall meet more fierce obstacles on the way but eventually when you come through,you will look back and appreciate the distance you have covered.Keep pressing until you press the right button my brother Bobiwine!]",0.22142857142857145
[\nJul 23\n],Accram Luzinda,[#16monthsWithoutSocialmedia Bobi Wine would have gotten use to Gulu prison. pic.twitter.com/M5TU7a0toO],0.0
[\nJul 23\n],Bobic Musa,"[Lord has answered our prayers, \nBOBI WINE is to challenge dictator Museveni in 2021 presidential election. pic.twitter.com/K0F3yreAAi]",0.0
[\nJul 22\n],SSEMPIJJA GODFREY,"[The Israelites had Moses, the South Africans had Mandela, the African Americans Martin Luther King. You my dear are our gift from God. We bless you and pray for your good health and good fortune.\n#IN_BOBIWINE_WE_TRUST_UGANDANS_PERIOD.pic.twitter.com/JDALHAjbZo]",0.4666666666666666
[\nJul 21\n],JulieBristolsBobiholic,[We can't wait to give Salutations to the Only #Next President ov Uganda bad Bobiwine\n#GetYoNationalids\n#M7mstGopic.twitter.com/sS8ilmdhou],-0.23333333333333328
[\nJul 19\n],#TrumpLive,[#Mission2021\n#BobiWine is our Next President pic.twitter.com/nu8mOWE7qo],0.0
[\nJul 24\n],Sulwe FM,[Ugandan musician and opposition MP Bobi Wine announces presidential bid for the 2021 election and challenge President Yoweri Museveni. pic.twitter.com/6NylRAr1eP],0.0
[\nJul 24\n],Sir Nelson,[Bobi Wine formally declares presidential bid for 2021 Uganda vote pic.twitter.com/RXdbfZ9uzX],0.0
[\nJul 24\n],Salim Kikeke,[BBC News - Ugandan pop star Bobi Wine to run against Yoweri Museveni https://www.bbc.co.uk/news/world-africa-49095214\xa0\u2026],0.0
[\nJul 24\n],Lubulwa Charles,[#BobiWine confirms to run for the #presidency2021],0.0
[\nJul 24\n],Happy Ssenfuma,[I thank the Lord everyday above that we have Bobi Wine in Africa. pic.twitter.com/eXTCov10AP],-0.1
[\nJul 24\n],Discover Africa News,"[Ugandan singer, Bobi Wine, declares for\xa0presidency https://discoverafricanews.com/bobi-wine-declares-uganda-president/\xa0\u2026pic.twitter.com/TFAMKGWqb5]",0.0
[\nJul 24\n],Nile Post,[LIVE: Bobi Wine unveils team ahead of 2021 elections https://nilepost.co.ug/2019/07/24/live-bobi-wine-unveils-team-ahead-of-2021-elections/\xa0\u2026 via @nilepostnews @nbstv #NilePostNews #NBSUpdates],0.13636363636363635
[\nJul 24\n],Northern  Buzz,[Breaking:Bobi wine appointed Bosmic Otim deputer youth leader of people Power.&gt;&gt;&gt;&gt;&gt;\nhttp://northernbuzz.biz/breakingbobi-wine-appointed-bosmic-otim-deputer-youth-leader-of-people-power/\xa0\u2026],0.0
[\nJul 24\n],The Tower Post,[FULL LIST: Bobi Wine Names 2021 Presidential Campaign Mobilisation Team | #TowerPostNewshttps://thetowerpost.com/2019/07/24/full-list-bobi-wine-names-2021-presidential-campaign-mobilisation-team/\xa0\u2026],0.35
[\nJul 24\n],Nile Post,[FULL LIST: Bobi Wine unveils People Power coordination team. @nbstv http://bit.ly/2SzTjFC\xa0\n#NilePostNews.pic.twitter.com/BBz3JQbDs1],0.35
[\nJul 23\n],kagali henry,[Let's hope that security won't storm Magere to interfere with @bobiwine press conference],0.0
[\nJul 23\n],Andrewjamesbills Tumwine,[So someone just told me bobiwine's don't own smartphones\nIs it true\n#UOT],0.6
[\nJul 22\n],JONAM’S PRINCESS 👑 👑,"[JONAM\u2019S PRINCESS\xa0\U0001f451\xa0\U0001f451 Retweeted \u15b4\u14aa\u163fx\u1572\u2122, BobiWine bewitched him https://twitter.com/AineArne/status/1153327066047291392\xa0\u2026, JONAM\u2019S PRINCESS\xa0\U0001f451\xa0\U0001f451 added,]",0.0
[\nJul 21\n],Simon tojikwatako pipo power,"[Simon tojikwatako pipo power Retweeted NTV UGANDA, But u can't even say BOBIWINE is coming 2021\n\nHmmm\n who's bewitching Uganda media ???? https://twitter.com/ntvuganda/status/1152965591747235840\xa0\u2026, Simon tojikwatako pipo power added,]",0.7
[\nJul 20\n],Kimms Kibosile,[IN BOBIWINE WE TRUST   pic.twitter.com/SFOoEGSosw],0.0
[\nJul 20\n],JulieBristolsBobiholic,[People power Youth Wing thx alot 4 paying dat courtesy visit to our #Next President H.E bad Bobi wine\n#Obumu gemanyi\n#PeoplePowerOurPowerpic.twitter.com/hflQ41VEMr],-0.3499999999999999
[\nJul 19\n],MUNASSINGO WA BOBI,[#Mission2021\n#BobiWine is our Next President pic.twitter.com/vX1J7tQWCQ],0.0
[\nJul 24\n],Anna Reuß,"[Bobi Wine unveils people power coordination team. Notable new names include Hon. Winnie Kizza, Anna Adeke, Mathias Mpuuga, amomg others. #Ugandahttps://nilepost.co.ug/2019/07/24/full-list-bobi-wine-unveils-people-power-coordination-team/\xa0\u2026]",0.3181818181818182
[\nJul 24\n],Nairobi News,[Kampala\u2019s top hotels have \u2018refused\u2019 to host firebrand singing MP Bobi Wine\u2019s event http://bit.ly/2Z9ONjQ\xa0pic.twitter.com/o80VemZbte],0.5
[\nJul 24\n],Breaking News,[Uganda's Bobi Wine formally declares his presidential bid http://dlvr.it/R90FVb\xa0 #Newspic.twitter.com/QFOXCCVilH],0.0
[\nJul 24\n],Rabiu Tajudeen,[Uganda\u2019s Popstar MP Bobi Wine To Contest 2021 Presidential Election\nhttp://www.pristinenetwork.com/pristine_indi_arti2.php?id=4155\xa0\u2026 pic.twitter.com/MMqLdEksJ2],0.0
[\nJul 24\n],The EastAfrican,"[Ugandan pop star turned leading opposition MP, Robert Kyagulanyi better known as Bobi Wine, to contest 2021 presidential vote https://bit.ly/2YpbjIj\xa0pic.twitter.com/ZvDbcJMYrI]",0.5
[\nJul 24\n],MTV English News,[AFP: #Ugandan pop star MP #BobiWine announces 2021 presidential election run],0.0
[\nJul 24\n],Moshtyaba,"[Hon Robert Kyagulanyi BOBI Wine my generational president 2021.\nUgandans need a peaceful transition,mature politics not brutality and dictatorship pic.twitter.com/shYIP7wlvB]",0.25
[\nJul 24\n],Bireete Sarah,[FULL LIST: Bobi Wine unveils People Power coordination team via @nilepostnews https://nilepost.co.ug/2019/07/24/full-list-bobi-wine-unveils-people-power-coordination-team/\xa0\u2026 - @HEBobiwine 2021 candidature taking shape],0.35
[\nJul 24\n],AbuSakeena,[Bobiwine pays tribute to his Late driver and friend Yasin Kawuma who was killed in Arua],-0.25
[\nJul 24\n],TheNileWires,[2021: Bobi Wine Unveils People Power National Leadership\nhttp://thenilewires.com/politics/2021-bobi-wine-unveils-people-power-national-leadership/\xa0\u2026pic.twitter.com/84Y96QIbQw],0.0
[\nJul 24\n],BODALÉSS™,[#PeoplePower #MagerePresser to announce regional coordinators that will push forward the pressure group's agenda across the country\n#BobiWine],0.0
[\nJul 23\n],Banac Charles,"[Thanks Bobiwine, #BikwaseKyagulanyi https://www.facebook.com/100001369954079/posts/2252401208148856/\xa0\u2026]",0.2
[\nJul 21\n],Mpasho News,"[\u201cThere has never been a threat to this regime like the threat we pose to it today as a generation"" - Bobi Wine\nhttps://mpasho.co.ke/bobi-wine-says-they-want-me-dead-as-soon-as-possible/\xa0\u2026]",0.0
[\nJul 21\n],SSEMPIJJA GODFREY,[In BOBIWINE we trust UGANDANS 2021],0.0
[\nJul 21\n],Jude Makena,[Acholi Leaders Endorse Bobi Wine For\xa0Presidency https://thekenyanweekly.co.ke/acholi-leaders-endorse-bobi-wine-for-presidency/\xa0\u2026 pic.twitter.com/ofqB0v93v6],0.0
[\nJul 24\n],@AaronAinomugisha,[Bobi Wine has the Strongest team.\n@JoelSsenyonyi wenyweze.pic.twitter.com/Ag7YSLNaO2],0.0
[\nJul 24\n],Tsebeni Ivan,[Bobi Wine Beats M7 By a Landslide in UCU Online Voting Demo via @CampusBeeUghttps://campusbee.ug/news/bobi-wine-beats-m7-by-a-landslide-in-ucu-online-voting-demo/\xa0\u2026],0.0
[\nJul 24\n],Nile Post,[FULL LIST: Bobi Wine unveils People Power coordination team https://nilepost.co.ug/2019/07/24/full-list-bobi-wine-unveils-people-power-coordination-team/\xa0\u2026 via @nilepostnews @nbstv #NilePostNews #NBSUpdates],0.35
[\nJul 24\n],Damalie_Kirabo,[Bobi wine ],0.0
[\nJul 23\n],Next Door Muslim,"[""We fail to implement the law. We blame the law. In 2021, I expect people like BOBI WINE, Winnie Kiiza (former leader of opp in @Parliament_Ug) &amp; Gerald Karuhanga to be the ones in charge of this country!""\n                 ~Prof. Kanyeihamba\n#RobertKyagulanyiForPresident2021]",-0.25
[\nJul 23\n],SSEMPIJJA GODFREY,[BOBIWINE IS OUR NEXT PRESIDENT OF UGANDA @2021 IF YOU KNOW YOU KNOW],0.0
[\nJul 23\n],Rugamban'engwe,[....kyaggwa dda! they started importing all the materials..even before parliament and cabinet had discussed! Abanene! Kati batugumaza mbu Bobiwine yagamba.... pic.twitter.com/DkHU3Zeb0c],0.0
[\nJul 23\n],#TrumpLive,"[With you Bobi Wine, there's hope for the future generation, God bless you our Vision Barer as you lead us to the promised land\n#mission2021\n#peoplepowerpic.twitter.com/vWBWWPD4BE]",0.0
[\nJul 22\n],Blazin' HOT100 - Comedy &amp; More,[Bobi Wine Welcomes Navio To The Marriage Life. https://www.hot100.ug/index.php/2019/07/22/bobi-wine-welcomes-navio-to-the-marriage-life/\xa0\u2026],0.0
[\nJul 21\n],_bUtEERa 🌍,"[I honestly liked the older bobi wine version. \nCurrent Bobi wine: The police officer attacked me,beat me and damaged my liver \n\nFormer Bobi wine: Mwana oyo ffala yansanze nandabisa]",0.3833333333333333
[\nJul 21\n], 👑BADMAN GADGET 256 🔥★,[Sunday vibes with Mr President @hebobiwine #funandagamuntu #twebereremu #peoplepowerourpower #bobiwine #yungmulo #uganda #kampala #ugandanmusic #doitagain https://www.instagram.com/p/B0L1Tnen-qV/?igshid=y89y0yhgksbj\xa0\u2026],0.0
[\nJul 21\n],Muwanda Bitti,[Bobi Wine will defeat Museveni and the army will salute Him 10 reasons why . | Ekyooto Uganda https://ekyooto.com/2019/07/21/bobi-wine-will-defeat-museveni-and-saluted-by-army-10-reasons-why/\xa0\u2026],0.0
[\nJul 21\n],Nuwagaba Molly,[#KyagulanyiRobert_Ssentamu AKA Bobi Wine for president 2021 pic.twitter.com/ts0DC9FFkj],0.0
[\nJul 21\n],EKYOOTO,[Acholi Sub-region elders and leaders endorse Bobi wine for Presidency https://ekyooto.com/2019/07/21/acholi-sub-region-elders-and-leaders-endorse-bobi-wine-for-presidency/\xa0\u2026],0.0
[\nJul 20\n],Nakamya Mai(MumDee)  ❤️,[No weapon formed against our Liberator Bobiwine shall prosper],0.0
[\nJul 23\n],@Ugandancitizen.,[https://www.facebook.com/100028167222964/posts/344308873184684/?sfnsn=mo&amp;s=100039413591402&amp;w=n\xa0\u2026 \n\nAnother tune to #BOBIWINE \nThanks #Artists who are championing this! \n@HEBobiwine 2021\n#Uganda is ready],0.2
[\nJul 22\n],SSEMPIJJA GODFREY,[BOBIWINE IS OUR NEXT PRESIDENT OF UGANDA 2021 IF YOU KNOW YOU KNOW],0.0
[\nJul 22\n],Barbie,[Thanks comrades and this will help us win 2021. Let's continue building capacities at GRASSROOT levels country wide \n# funa endaga muntu TWEBEREREMU \n# Bobiwine for president 2021],0.3
[\nJul 22\n],BigEyeUG,[Bobi Wine happy as fellow musician Navio formalizes marital\xa0status https://bigeye.ug/bobi-wine-happy-as-fellow-musician-navio-formalizes-marital-status/\xa0\u2026pic.twitter.com/BPTmJeqTYx],0.8
[\nJul 21\n],KKungu Simon,[Bobi wine @2021is my president come rain or come shine because he is the hope for better ugandapic.twitter.com/DiqfkxkLwI],0.5
[\nJul 21\n],Carlos Redmond,[Bobi Wine takes on Uganda's ageing dictator http://dlvr.it/R8qhgD\xa0 pic.twitter.com/n3qy2SCs8c],0.0
[\nJul 21\n],Faizo Zufee,[Eno challenge.. Hahaha\n#Abalungibalumya (Bobi Wine &amp; Nubian Li )cover by Faizo Zufee YouTube Link;- https://youtu.be/6AXn2yZgOVc\xa0],0.0
[\nJul 21\n],Muwanda Bitti,[Acholi Sub-region elders and leaders endorse Bobi wine for Presidency | Ekyooto Uganda https://ekyooto.com/2019/07/21/acholi-sub-region-elders-and-leaders-endorse-bobi-wine-for-presidency/\xa0\u2026],0.0
[\nJul 21\n],SSEMPIJJA GODFREY,"[Yes my hope,  my future,  my next president @BOBIWINE  thnx for being honest #Pipo power our power #2021 Dictator m7 mustGo like it o not #enough is enoughpic.twitter.com/vf4d8WDZJw]",0.15
[\nJul 21\n],kakande fahad,"[@bobiwine we are fighting for freedomits our last chance 2021, thanks for amolo the love you showed our #freedomfighter]",0.2333333333333333
[\nJul 21\n],Ssesangaismael Freeman,[This is how we have to protect our #bobi winepic.twitter.com/EJf6Lz0Ds8],0.0
[\nJul 20\n],Al Hajji Muzaffar Kalyowa,"[Al Hajji Muzaffar Kalyowa Retweeted BOBI WINE, Wow..Wow Ma shaa Allah The Uganda\u2019s 10th President @H.E BOBI WINE https://twitter.com/hebobiwine/status/1152653396907823111\xa0\u2026, Al Hajji Muzaffar Kalyowa added,]",0.0
[\nJul 20\n],91.2 Crooze Fm,"[Kyadondo East MP has maintained that he is ready to challenge President @KagutaMuseveni come 2021,Asks people to stand strong for change. 'Your National ID is Your Gun,'- Bobi Wine @HEBobiwine in Gulu.\n#CroozefmNewspic.twitter.com/Kufm8r5x0F]",0.31666666666666665
[\nJul 20\n],Tmusa Kasereka,"[If your vying to get us Citizens who are also Tax Payers to believe in you in your race to lead us and because we will be paying your Salary just like we are already paying to Bobiwine,  then you need all the replies to your Comentaries and position on the Political Question]",0.0
[\nJul 20\n],Trevormukwaya,"[Trevormukwaya Retweeted BOBI WINE, All that will be gone come 2021 .Bobi wine is the solution https://twitter.com/HEBobiwine/status/1152653396907823111\xa0\u2026, Trevormukwaya added,]",0.0
[\nJul 20\n],Bryan,"[I think a lot about that guy who went to a Crystal Palace-Liverpool game to shout \u201cMo Salah, Free Bobi Wine\u201d]",0.0
[\nJul 20\n],Mary Serumaga,"[\u201cMost  of the time when we go to court, it\u2019s either the judge is not sitting, the file cannot be traced or the advocate representing the other party is not in court...The four siblings she was supposed to share the land bequeathed on her by her late mother, have since died""  Sad.]",-0.30833333333333335
[\nJul 21\n],allAfrica.com,[How Bobi Wine Has Forgotten His Core Fans: https://allafrica.com/stories/201907180012.html?utm_campaign=allafrica%3Aeditor&amp;utm_medium=social&amp;utm_source=twitter&amp;utm_content=promote%3Aaans%3Aabkgta\xa0\u2026 #Ugandapic.twitter.com/d2sKZLcTjf],0.0
[\nJul 21\n],Isaac Wan kayz,[I love ma bobi wine banange  dese two pipo in video I love dem to de maxmum pic.twitter.com/1EGZ8WvzDS],0.5
[\nJul 21\n],Apio Moro,[wait a minute....\nDid Bobi Wine just follow me? Or is it another Bobi Wine  pic.twitter.com/KXyyvcT9My],0.0
[\nJul 21\n],SSEMPIJJA GODFREY,[BOBIWINE IS OUR NEXT PRESIDENT OF UGANDA IF YOU KNOW YOU KNOW],0.0
[\nJul 21\n],Bobi Elly,[One of the paid to be fool NRMist rwakakamba few days said that people love BobiWine the musician not the politician buh i think he missed it all by forgetting that BobiWine has awakened almost the number of youths almost worldwide],0.15
[\nJul 20\n],Soldier ↪,[Bobi Wine's son should feature in Money Heist \n\nHe already has the screen name],0.0
[\nJul 20\n],Peter mbusa,"[Peter mbusa Retweeted BOBI WINE, @bobiwine as your visiting those areas think of visiting kasese as well let's do some senstization there too it might be a good opportunity for a stepping stone towards 2021 https://twitter.com/HEBobiwine/status/1152653396907823111\xa0\u2026, Peter mbusa added,]",0.7
[\nJul 20\n],#MWIMA ASUMAN,[Chairman mao we need you for parliament of guru municipality Ba bobi wine president ov uganda 2021],0.0
[\nJul 20\n],Benzo barya,[Viva viva much luv our only hope and future your excellence bobi wine may God protect u more years],0.175
[\nJul 20\n],Leonida Ashioya,[Their is alot to be the justice systems indeed],0.0
[\nJul 20\n],Tom B,[It represents very low standards without any consequences. When people face dire consequences for not acting or it's reflected in no pay or reduced fees; then perhaps things might change....],0.0
[\nJul 20\n],@AaronAinomugisha,"[Kyadondo East MP has maintained that he is ready to challenge President @KagutaMuseveni come 2021,Asks people to stand strong for change.\n'Your National ID is Your Gun,'- Bobi Wine @HEBobiwine in Gulu.pic.twitter.com/9Be57tevzw]",0.31666666666666665
[\nJul 20\n],The Achiever Times,[Bobi Wine congratulates Navio upon his wedding http://achiever.news.blog/2019/07/20/bobi-wine-congratulates-navio-upon-his-wedding/\xa0\u2026pic.twitter.com/jBD7HTlAFv],0.0
[\nJul 20\n],JOBLESS BROTHERHOOD  🇺🇬,[So @bobiwine was born smoking weed.],0.0
[\nJul 20\n],Apollo Kaneene,[Wake up Uganda stand strong the dictatorship is the only problem standing between your progress #bobiwine 2021 #EXplOrationinSeoulDay1],0.21666666666666665
[\nJul 20\n],Albert Rudatsimburwa  🇷🇼,"[I thought news about Besigye Museveni Bobi Wine news was internal to UG? Yet internal doesn't mean impermeable to other audiences, right?\nHow do you connect what's happening inside Uganda with 'giving a chance to diplomacy between Rwanda &amp; Uganda""?]",-0.109375
[\nJul 20\n],Ssekidde Ivan,[Just wait for the new tune coming to ur ears from the one and only his Excellency bobi wine and RONALD mayinja pic.twitter.com/rKkR12Jv2A],0.06818181818181818
[\nJul 19\n],Sonia Wa Bobi,[One thing to remind all Ugandans people power is not Bobi wine people power is for oppressed people you and me that's why  we say people United can never be defeated @KagutaMuseveni  museveni must go enough is enough @NalwangaAgnes2 @PEOPLEPOWERUGAN @EKayabula @eddie_mutwepic.twitter.com/ep6CKBMGoi],0.0
[\nJul 19\n],MUNASSINGO WA BOBI,[Even if I become a president I will remain like any ordinary ugandan says Bobi Wine #aljazeera #PeoplePowerOurPowerpic.twitter.com/6ZhaUdQuoD],-0.25
[\nJul 19\n],Jeffrey Smith,"[#Uganda's musician-turned-politician Bobi Wine (@HEBobiwine) has answered the question everyone has been asking. Yes, he will run against the country's longtime dictator in elections scheduled for 2021. http://stream.aljazeera.com/story/201907180018-0025882\xa0\u2026 @AJStream]",0.0
[\nJul 18\n],The Stream,[Uganda's rapper-turned-politician Bobi Wine will run for president in 2021. Does he have a chance? We ask him on today's show. pic.twitter.com/EFraP3fwic],0.0
[\nJul 18\n],The Stream,"[In #Uganda, President Museveni has been in power since the 1980s. What do you think it will take for Bobi Wine to win in the 2021 presidential elections? pic.twitter.com/46ErlTaHlk]",0.8
[\nJul 18\n],Ranö ⚡,[My #PeoplePower guys shall we?\nShall we make our BOBI WINE version??\nB -\nO -\nB - \nI -\n\nW -\nI -\nN -\nE -\n\n                        ...I'm waiting pic.twitter.com/d7jJiyVbAV],0.0
[\nJul 17\n],Pages  🇺🇬,[You may come and attack me but the truth is Bobi Wine is dead musically.],-0.1
[\nJul 16\n],King Of East Africa  🇰🇪 🇺🇬 🇹🇿 🇷🇼,[The meeting between Bobi Wine and Dr. Jose Chameleon must have been a tough one.],-0.3888888888888889
[\nJul 16\n],Sudhir Byaruhanga,[Bobi Wine to run for Presidency in 2021. @HEBobiwinepic.twitter.com/uhMKss5JJa],0.0
[\nJul 16\n],Capital FM Uganda,"[MP Robert Kyagulanyi, popularly known as Bobi Wine has again said he wishes to stand for president in 2021. http://bit.ly/2ShRk8U\xa0\n#CapitalNewsDeskpic.twitter.com/zgpI3qcJbq]",0.6
[\nJul 15\n],AP Africa,[Uganda's pop star and opposition leader Bobi Wine plans to run for president in 2021 http://apne.ws/WKuBJL7\xa0],0.0
[\nJul 15\n],david pilling,[A day after this interview Bobi Wine (@hebobiwine) declares he's running in 2021 https://www.ft.com/content/1b4b163e-a19a-11e9-974c-ad1c6ab5efd1\xa0\u2026 via @financialtimes],0.0
[\nJul 15\n],Al Jazeera News,[Singer Bobi Wine says he will run for Uganda president in 2021 https://aje.io/aus8h\xa0pic.twitter.com/wic3T8izHG],0.0
[\nJul 15\n],JOSE CHAMELEONE,"[It was A great opportunity yesterday to Meet and Interact With My Brother,Comrade and fellow Artiste Robert Kyagulanyi | Bobi Wine. \n\nIt was nice catching up since we never have abundant time as we are both in and... https://www.facebook.com/1370305192/posts/10214807797613088/\xa0\u2026]",0.65
[\nJul 13\n],Financial Times,"[Bobi Wine, the self-styled 'ghetto president' and b\xeate noire of Uganda\u2019s political establishment, tells the FT about rattling the real president \u2013 and why Africa's youth are becoming a potent political force https://on.ft.com/2jDxgkw\xa0]",0.22999999999999998
[\nJul 12\n],Financial Times,"[At 37, Bobi Wine has built on his fame as a rapper and musical activist to win a seat in Uganda's parliament and put himself in a position to mount a credible \u2014 if as yet undeclared \u2014 presidential bid in 2021 https://on.ft.com/2jEzYpY\xa0]",0.4000000000000001
[\nJul 12\n],Financial Times,[Bobi Wine: \u2018I will walk you round my ghetto\u2019 https://on.ft.com/2jE6loK\xa0],-0.2
[\nJul 10\n],Patriot Anisha  🇺🇬,[Bobi Wine deleted this tweet as soon as he was quoted by @JBahabwa. He couldn\u2019t ride on this one like he always does on other things for clout.pic.twitter.com/SB0aNJxTma],-0.125
[\nJul 5\n],Collins  ⛱,[Onyango has done more for Uganda than Bobi Wine.From today we shall refer to him as H.E Onyango.  pic.twitter.com/DTAAlCMXP0],0.5
[\nJul 3\n],DaRiUs tHe AfRiCaN™ 🇺🇬 🇷🇼❁,"[So #PeoplePower's Bobi wine tried to crop out people during his acceptance tweet dedicated to Ugandans but TWITTER VAR was on duty. Meanwhile Uganda's Motto is ""For God and My Country"". pic.twitter.com/biWRVPVlXy]",0.0
[\nJul 2\n],Sir Arthur,[As childish as Cindy. SMFH \nSheebah invited her to her house warming so that they could put the BS aside &amp; she refused to show up. \nShe didn\u2019t even give an excuse.\nThat\u2019s how Bebe Cool hated on Bobi Wine until Bobi was no longer playing in his league.],-0.25
[\nJul 1\n],MP Zaake Francis Butebi,[H.E Bobi Wine has  addressed Chicago International Global Peace and Human Rights Summit for the observance of human rights principles world over but especially for our country Uganda.\n#peoplepower\n#PeoplePower_OurPower],0.0
[\nJun 27\n],stan ⚡️,"[stan\xa0\u26a1\ufe0f Retweeted Next Door Muslim, whichever bobi wine endorses https://twitter.com/kaysafi1/status/1144298343952211969\xa0\u2026, stan\xa0\u26a1\ufe0f added,]",0.0
[\nJun 26\n],Faisal,[Did u say Billiat or Bobi wine? #UGAZIMpic.twitter.com/QNhExC76fm],0.0
[\nJun 18\n],Ka Malaika  💋 💘 💕 👅,[Now I understand why the govt and some people have failed to separate Robert Kyagulanyi the MP and Bobi Wine the artist. \nIts juts like UOT has failed to separate Turamuhawe Christine Joy the founder of @CjayH_S and Ka Malaika the tweep. \nIts honesty hard to understand.],-0.12291666666666666
[\nJun 17\n],ktn,[Ugandan pop star turned leading opposition figure Bobi Wine has said he is ready to take on veteran president Yoweri Museveni in 2021 elections despite a string of \narrests seen as a bid to silence him\n\n#BottomlineAfricapic.twitter.com/iXSQvdUH1N],0.1
[\nJun 17\n],Sir Arthur,[Most Android people are like Bobi Wine\u2019s fans. You say anything and they are triggered. \n\nNow Big Trill was wondering if y\u2019all have emojis but you want to eat him. Just answer mans and chill.],0.25
[\nJun 16\n],E u G i   🇺🇬  🇰🇪 🇷🇼,[BOBI WINE in Europe. CHAMELION in Middle east. KENZO West africa. FRESH KID. Dubai. where is bebe cool? (5marks)],0.21666666666666665
[\nJun 13\n],B.O.B,[Google can't translate well when it comes to Bobi wine. pic.twitter.com/LDe2GF2jDI],0.0
[\nJun 13\n],Sir Arthur,[Bobi Wine was proposing in parliament that the army&amp; police\u2019s salaries should be increased. Now Museveni at the budget reading also said he\u2019s going to make sure performing artistes get a fund like the youth livelihood.\nIt looks like both are trying to give each other money.],0.1875
[\nJun 12\n],Mwes™,[This interview is proof that Bobi Wine is not ready for the positions we're elevating him to. He can't even answer simple open questions about policy and strategy.  pic.twitter.com/yTIpP6DzII],-0.03333333333333333
[\nJun 12\n],FRANCE 24,[Bobi Wine vows to keep fighting for freedom in Uganda despite recent arrests https://f24.my/54e5.t\xa0pic.twitter.com/5CrZaGu5oN],0.0
[\nJun 12\n],Mathias Ssemanda,"[So Muhammad Nsereko professed that he has never stepped in Bobi Wine\u2019s home.. few minutes later, a video is doing rounds showing him in the Magere premises]",-0.1
[\nJun 12\n],MP Zaake Francis Butebi,[The people power movement is stronger than the people in power. This is a group of Bobi wine diehards that visited me last week. We appreciate you wherever you are. \n#peoplepower\n#zaakefoundationpic.twitter.com/Q6bWqsnMb8],0.0
[\nJun 8\n],GENO ERIC,"[I thank God that Bebe Cool , Chameleon or Bobi Wine have never and may never win a BET award,I doubt if there will be freedom of speech if one of them does .]",-0.025000000000000022
[\nJun 7\n],Shaban khamiisi 🇺🇬,[When museveni hears Bobi wine telling people to register for national IDs \n\nHim : pic.twitter.com/hdlHXCYRij],0.0
[\nJun 7\n],mr__sewali 🇺🇬,"[Uhm, is there any particular reason as to why Bobi Wine is travelling the world? Is he living his best life? Chilling? Working? What is he doing? ]",0.22222222222222224
[\nMay 30\n],Oscar Ntege,"[Bobi Wine and politics  aside, Ugandan girls are the ish! \n\nGive this 1000 Retweets just for just. \n\n@faithmuwa24pic.twitter.com/hNQ24MMjya]",0.0
[\nMay 30\n],Lord Abraham Mutai,[The enemy is terrorizing Bobi Wine in Uganda.],0.0
