DATES,TITLE ARTICLE,ARTICLE CONTENT
        Added 8th January 2019 08:51 AM       ,Pastors locked in controversy over Bobi Wine&#39;s new song,"			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			"
        Added 24th July 2019 05:04 PM       ,Special Report: Murders that have...,"			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			"
        Added 27th July 2019 04:20 PM       ,Why Tumukunde went for Lukwago’s seat,"I am mobilising voters to change the leadership in Kampala. Kampala is an important sub-area of Uganda. It is the face of Uganda and centre of influence, comprising 10 million people.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		Former security minister Lt Gen (rtd) Henry Tumukunde, is said to be aspiring for the Kampala Lord Mayor’s seat in 2021. UMARU KASHAKA interviewed him on a wide range of issues, including his alleged fights with the former Inspector General of Police (IGP), Gen. Kale Kayihura and President Yoweri Museveni succession.So, how far have you gone with your plans to unseat Erias Lukwago? I am consulting. I do not storm into decisions; I am a mathematical dealer. I want to check whether I can play very well here (as Lord Mayor), how many prejudices are against me and how received am I. Fortunately, I am very well received because of my history.Having served in the military, do you feel fulfilled? Yes, because whenever I was given opportunity, I performed to my best. I have served the government for an average of 13-15 years and in that period, I made a mark.Apart from ending bomb blasts in Kampala in the late 1990s, what else would you consider your biggest achievement? I brought an end to (Lord’s Resistance Army leader) Joseph Kony. I went to northern Uganda as a division commander and my first investigation was how Kony feeds. I noticed that he was getting this food from IDPs (internally displaced persons). So, we sealed it (IDP camp) off. That is when he fled to northern Uganda. So, I was effective as a commander.Why are you mobilising in Kampala? I am mobilising voters to change the leadership in Kampala. Kampala is an important sub-area of Uganda. It is the face of Uganda and centre of influence, comprising 10 million people.So, I will never be hanged for not trying to try. When you change Kampala, you will largely change Uganda.What is your plan for Kampala? Kampala is a national problem. It contributes to the economy in volumes and so, it should get something in equal value. But Kampala and its residents need to be organised. If you go to Katanga (one of Kampala’s biggest slums) you will find three toilets which are closed at 7:00 pm; so, what happens after that? Can you apply timers on human beings? But a mayor in himself may not solve all these, neither can the resources allocated to Kampala. So that is why I am patiently consulting. I will decide according to what I find on the ground.But you were up there as a minister. Aren’t you stooping low to compete for a mayoral seat, which is largely ceremonial?But why should the Lord Mayor’s seat be ceremonial? The laws that made it ceremonial can make it substantive. Are we too late to amend the laws? No! We are going to contribute our views (to the KCCA Bill). Why should Kampala’s mayor be necessarily excluded from the rest of the mayorships when it is the most important city? And in any case, if votes decide politics, why should one voted power freeze another voted officer?How do you expect to win in Kampala which is an opposition stronghold? Haven’t you seen the Opposition voting a person on individual merit? Ugandans are capable of checking whether things are working in their favour or not. People know what they want, and time will tell. But it is also whether people get to understand that you understand their problems. There are 64 slums in Kampala. Schools are submerged in Bwaise! Can’t the leaders, for example, break or sort out the problem? The Netherlands is below sea level; so why should Bwaise be complicated mathematics? You can either relocate people or drain Bwaise.I hope you know that Lukwago is still a force to reckon with.But why would I want to contest with somebody who is not a force to reckon with?Many people wondered why the President sacked you as security minister? You are asking the wrong person; President Museveni should give you the answer. But in all fairness, I am honoured to be so favoured by the public; if an appointing authority thinks you have come to an end, then he ceases to appoint you. The bigger point is sometimes working to appoint yourself because political jobs are wide and open. You do not have to entirely depend on the mercy of appointments. Were you sacked because of your clashes with Kayihura?Kayihura was an IGP, I was a minister. There was no direct link between us. Secondly, in politics, the playground is not very plain. There are some organised forces whose main intention is to crush some players. So, if you are not careful enough, you will always be consumed into what are imaginary differences.Gen. Kayihura did a good job as far as I am concerned. When you meet a Police Officer on the streets, he is excited and full of confidence. And that had always been my prayer. So, Kayihura deserves to be credited for that. However, his time was also associated with predominant lawlessness because we incorporated people who were not qualified into the system of managing law and order. We have always depended on the population to gather intelligence, but we have always been careful not to incorporate them in the solutions of intelligence.People say you were given a mission as security minister to finish off Kayihura. Are you saying I am useable? That I was used and discarded? That presumes that I am some useable material for President Museveni. That he uses me when he wishes and drops me when he wishes and that I am always very happy about it or that I work with him under that table. That is a gazetted joke. It minimises my individual capacity. I am largely capable and competent and, therefore, may not be good material for usability.People have dragged in the issue of Rwanda in your clashes with Kayihura The Rwandans have their country; we have ours. My job was to defend Uganda. Let me say this without mincing words: anyone operating in this country must respect our institutions, our leadership and our country.And this, for me, is very fundamental. Ugandans are now respected; I do not want us to return to the days when people were putting us aside at international airports just because we carried a Ugandan passport. We progressed and we must protect our progress. So, anyone playing here must do it with absolute respect of our institutions, systems and leadership.People say you clashed with Kayihura over his huge budget vis-à-vis what you were allocated Do ministers handle budgets? No! That should have been Col. Kaka Bagyenda’s (Internal Security Organisation director-general) or Joseph Ocwet’s (director-general External Security Organisation) business. In every institution, there is an accounting officer. I was just a policy manager as a minister. You tend to spend a lot of your energies on generals. There is a Uganda of tomorrow.What is the Uganda of tomorrow? For example, in 2021, 4.3 million Ugandans will vote for the first time after clocking 18. How will you manage them? How will you provide them with jobs? How will you take care of their expectations? And how long are we going to continue exporting raw coffee or raw tea? Or continue to depend on the hoe for production when Malaysians hanged it in 1972? We were richer than Singapore and South Korea, but they are now far ahead of us.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		So, how do we tap into human capital? Look at health services; do you know we have so many doctors in South Africa? Why don’t you bring them here? Where is their soft landing? Do you want to continue paying millions going to India? How long are we going to go like this? Importing everything — a safety pin, needle, thread.Wonderful ideas! You need to be reappointed! Why doesn’t the President see this? The political space is wide open. It is a question of whether I can fit myself in. I am healthy and available. But why are you limited to being appointed? Museveni has not been appointed for a very long time. The Lord Mayor of Kampala is not appointed. He is elected. The MPs are not appointed.How do you look at Uganda’s future? You should stop being overdependent on President Museveni. You should also stop being overcritical. What are you doing for your country? How much time do you spend thinking about your country?You keep campaigning for President Museveni; why don’t you allow him to retire? President Museveni will not retire himself; it is the voters who will retire him. So, if you have issues with how he has served for so long, participate in your country’s politics and speak for change. That is your privilege. You should also participate in elections and mobilise the voters for change. So, when everybody is sitting and the only active man is President Museveni, you want to tell me he will retire himself?How do you expect to win in Kampala when you failed in your own home district, Rukungiri, to garner enough support for President Museveni to defeat Dr Kizza Besigye there in 2016 elections?Who told you garnering support for the President is equal to garnering support for yourself? But it is also about how you manage some of these elections. I am very sure Rukungiri can vote me, either in the municipality or Rubabo.What is your take on Kyadondo East MP Bobi Wine’s presidential bid? Bobi Wine is an up-and-coming politician. He has occupied space most of you fear to occupy. He also raises crowds. But I want to ask: Is Uganda so easy to manage? Who of the leaders offering themselves have the competence to manage it? However, this should not stop or thwart up and- coming leaders. Bobi Wine is an up-and-coming leader; so was Museveni in 1981.Is he a threat to Museveni? Well, the voting box will tell us. The natural process of selecting leadership is simply at play. Like it is in Kampala: me, Lukwago and Jose Chameleone can offer ourselves and Ugandans decide.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			Your colleagues in NRM dismiss Besigye as a power-hungry attention seeker? Do you agree?He got 3.2 million votes, do you dismiss such a person? 3.2 million votes are not ordinary! Is anyone who contests for political office power-hungry? Then why did they put a contest in the first place? Having other political views does not make him a bad person.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 14th January 2019 11:25 AM       ,‘Tuliyambala Engule’ frenzy and how it defines our political opposition,"Even common sense would suggest that publically held spiritual assets can/should not be used by individuals promoting their partisan agenda			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		By Nyombi Thembo Populism and political opportunism currently defines political opposition world over. The whole of Europe, Latin America and Americas have populism as the major threat to democracy.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		With Africa, considering our fragile democracies, most of which are in formative stages-our political actors should be put on notice: populism is slowly trying to redefine the operations of state mechanics for the worse. We have witnessed populism firing up uprisings in Libya, Egypt, Tunisia and Madagascar.Liberation theology is being rewritten as we witness crumbling of main stream liberation movements more so in Tanzania (CCM) and South Africa (ANC). South Africa for example is stuck in populism tumult fronted by a former ANC youth leader, the Julius Malema, President of the Economic Freedom Fighters (EFF) Party.Malema is promising Animal Farm like sugar-candy mountains, riding on black empowerment-a travesty that can only destroy South Africa. Like I have urged several times, the political opposition especially in Africa lack ideological anchorage, thence resorting to demonizing personalities in leadership, this now is being augmented by blind populism. It can only be dangerous.Listening to the ‘Tuliyambala Engule’ song, one clearly understands the real foundation of our opposition politics. ‘Tuliyambala Engule’ can literally be interpreted to mean-an era where all will be perfect, happiness, no toil, no stress but jubilation. The copycat song outlines the challenges facing Uganda but directly blaming all these to the current leadership.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		Laughable, but to a socio-economically challenged educated youths, this can be ignition for blind political activism. It is easy to convince unemployed youths that the long stay of Museveni is the cause of their suffering.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			These youths may not ask themselves what happened to Uganda that changed top leadership more frequently than any other independent African country.Before Museveni, our Uganda witnessed more than six government changes-every new government would promise a better Uganda – ‘Okwambala Engule’ (putting on a crown) but what we saw was Uganda being pushed into even deeper political and economic crisis. Our history is so recent for all to refer to.How I wish our youths who are the target of this fantasy would ask our good ‘Tulyambala Engule’ crusader these questions. How do you intend to fight corruption in Uganda? I would start with himself as an example and ask: assuming you are the next President - can you clearly demonstrate how we can trust you to be our messiah and moral compass, given your history which we know very well.I would continue: when did you stop to joy in the troubles of people you do not agree with/your enemies, where I will remind the honourable crusader when he composed a song in praise of the errant security guard who shot and injured his arch rival Beebe cool.How am I supposed to entrust such a sadist with the responsibility of a Commander in Chief?I would continue my bother to the crusader: you have had a very successful musical career-you own a lot of property, including emperor like residences, can you tell us who among your colleagues, especially those you sing with-backups, instrumental players, dancers who have equally benefitted from your fat pay cheques so that we may be able to confirm that when you are president all of us shall equally benefit from your crown (engule).I will continue to inform: Are you aware Mr. Crusader that you are not the first successful musicians in Uganda? Why do you think other equally or better musicians in the days before Museveni’s rule died paupers? Don’t you think your success, as you repeatedly tell us, from the ghetto to one of the richest persons in Uganda, suggest that Uganda is a country where hard work and talent pays irrespective of somebody’s political affiliation?Of course since he is an honorable, I will be polite not to remind him about how his gangerstars had made night clubs a nightmare in Uganda via their numerous fights with “rival groups”.I would continue: Sir, tell us your philosophy of sharing the national resources. We have a known resource envelop and our problems are known. Let us assume you have fought corruption by employing your Angelic team: Kabbaaya, Mutwe etc. (I mention the two because, I think these are the most known loyal colleagues of our ‘Tuliyambala Engule’ crusader).Tell us how you will grow this economy to make everybody happy given the resources at our disposal-can we look at your proposed figures. At this point, I may remind him that in Africa examples abound where the likes of him who thought that the overstay of certain leaders was the cause of misery.In countries like Malawi (Kamuzu Banda), Zambia (Keneth Kaunda), Egypt (Housin Mubarak), Libya (Gaddafi) and DRC (Mobutu) removal of long serving leaders (much as most of these were super dictators) only served to push these countries into deeper political and economic crisis.Possibly our chief crusader can tell us what is happening in these countries after removing the so called overstayed leaders so that we can confirm the hypothesis that removal of a seemingly overstayed leader leads to a country’s growth and prosperity.Lacking originality and riding on street emotions, ‘Tuliyambala Engule’ song is a perfect representation of our opposition. You will never hear them talk about serious policy alternatives other than riding on the challenges of the time facing government.When there happen to be some unexplained homicide - our typical opposition will jump on that with all sorts of conspiracy theories and the next day when there is a school fire our good friends will make this to sound like its government that has burnt the school.I have followed our opposition since the 1996 elections, you rarely hear them talking policy and how to solve the problems afflicting our people.On this, Museveni and his team are politically lonely - prescribing a host of strategic approaches to solve our problems and the opposition always at the receiving end to oppose without giving any policy alternatives.As a result the opposition has created the wrong impression that –“remove Museveni, then everything will correct automatically and Uganda will become a better place for all”. Some of our young people now believe that if the political party of their choice were to be elected into power, goodies will just flow their way. My sympathies.In addition to reflecting the psyche of our political opposition, the lack of originality on part of the ‘Tuliyambala Engule’ song has some biblical parallels. For some of the biblically unread who have blamed a group of pastors who have opposed weaponising a hymn for political purposes, I refer them to the book of Daniel Chapter five.In this scripture we are told how King Belshazzar gave a great banquet to his nobles whereupon he ordered to bring the gold and silver goblets that Nebuchadnezzar his farther had taken from the temple in Jerusalem.He used these sacred goblets to serve his nobles, concubines and wives while they praised the false gods. God got annoyed and the biblical writings on the wall appeared condemning the King and the subsequent punishment. This should be the basis for our pastors to oppose the usage of a known hymn for unholy partisan political purposes.Even common sense would suggest that publically held spiritual assets can/should not be used by individuals promoting their partisan agenda.Can you imagine what would happen if an NRM supporter used our National Anthem as foundation music for a song to enumerate the successes of the NRM government – I would oppose it much as I am a staunch supporter of the NRM?Writer is the chairman, Governance Plus Advisory Services				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
         Added 30th April 2019 12:18 PM        ,"Shekhinah, King Saha light up Blankets &amp; Wine","				Uganda's King Saha and South Africa's Shekhinah were on hand to headline Sunday's edition of Blankets &amp; Wine, East Africa's premier music experience designed to showcase outstanding musicians in the emerging genres of afro-based music			"
        Added 6th February 2019 09:52 AM       , Thugs replace altar wine with urine,"			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });			"
        Added 11th February 2019 10:36 AM       ,DP rallies opposition to support its 2021 election campaign strategy,"						 Democratic Party (DP) spokesperson, Kenneth Paul Kakande addressing journalists during the launch  of one on one modal at the DP headquarters in Kampala recently. (Photo by Nelson Kiva)					Last month, Peoples Development Party (PDP), Social Democratic Party (SDP) and Truth for Justice (TJ), announced a decision to consolidate efforts with the DP to form a political bloc capable of causing regime change.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		POLITICSThe Democratic Party (DP) merger is courting other opposition groups to galvanize support for its 2021 election campaign strategy.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Last month, Peoples Development Party (PDP), Social Democratic Party (SDP) and Truth for Justice (TJ), announced a decision to consolidate efforts with the DP to form a political bloc capable of causing regime change.The political consortium proposed an opposition election campaign strategy dubbed “one on one modal.”On top of fielding a joint Presidential candidate, the strategy proposes opposition political parties to field candidates in the parliamentary and local council elections basing on their strength in the region.Mike Mabike, the president of the SDP has implored the Opposition that the only way to dislodge the National Resistance Movement (NRM) and President Yoweri Museveni is through acting as a united front.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });		According to Mabike, inter-party rivalries have for long prevented opposition from working together to foster change, a mistake which must be corrected now.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			“We have already started sorting out all the issues which divided us and led to the collapse of the previous efforts to secure a formidable coalition against NRM,” he said.The opposition Democratic Alliance (TDA) in 2015 failed to choose a single candidate to challenge President Yoweri Museveni in the 2016 presidential election after nearly a week of deliberation.The Inter-Party Cooperation (IPC) formed by several opposition political parties, including Forum for Democratic Change (FDC), Democratic Party (DP), Uganda People Congress (UPC) collapsed prior to the 2011 general elections.The members disagreed on whether they should participate in an election organised by Badru Kigundu led Electoral Commission or not.At the launch of one on one modal in Jinja last week, the DP merger announced that their push is to secure the Opposition coalition much earlier.The one on one strategy, clusters opposition political parties per their regional strength and the political consortium suggests that, Buganda, Acholi, Busoga, Sebei and parts of West Nile be left to DP.Kigezi, Ankole, Toro, Bunyoro and parts of Teso be left out for Forum for Democratic Change (FDC) .UPC according to the group should be offered Lango, Karamoja, and parts of North Eastern.Muntu’s party Alliance for National Transformation (ANT), the consortium wants it to settle for West Nile, and Rwenzori sub-region.Though local representatives of other opposition players such as UPC, JEEMA, Alliance for National Transformation (ANT) of Mugisha Muntu, People Power of Robert Kyagulanyi a.k.a Bobi Wine  attended the Jinja launch,  it was not enough to paint a picture that their principals in Kampala were in for one on one modal.FDC has since questioned the attainability of the strategy, insisting that they have never been consulted for their take on the matter to be included.For UPC, Internal bickering is taking the parties to another dimension and as it appears, this may be more pressing subject than regime change.Last week, Jimmy Akena administration announced a decision that may climax into the Otunnu-Bossa led faction being showed exit from the party.At a press conference at Uganda House in Kampala on Wednesday, Akena and the MP Lira Municipality, disclosed that the party was instituting disciplinary measures against the former party vice president, Joseph Bossa.Bossa was summoned to appear before the party disciplinary committee together with Peter Walubiri, former party secretary general, Jancito Ogwal, the former MP Otuke county and Isha Otto Amiza on March 15, 2019.However, the Otunnu-Bbosa faction is not ready to appear before Akena administration disciplinary committee, insisting that Akena group has never even been a faction of UPC but an affiliate of the National Resistance Movement.Also related to this story'Uganda not ready for party coalitions'DP ready for coalition 				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 2nd April 2019 04:37 PM       ,Ocorimongin: The biggest market in Uganda ,"						 Agricultural produce is on the list of items being sold in the market. (Photo by Titus Kakembo)					Besides cattle the market at the mercy of sun or rain, is a typical Uganda equivalent of a supermarket where everything can be bought.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		TOURISMKATAKWI-The advent of supermarkets previously feared to kill dukas (corner shops) and katale (market) or okison (auction) has been proved impossible. This is true in the biggest one in the country called Ocorimongin (market of cows) in Katakwi.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611395617-0'); });		Besides cattle the market at the mercy of sun or rain, is a typical Uganda equivalent of a supermarket where everything can be bought. The list of goods there comprises: electronics, toys, cosmetics, household essentials, poultry, livestock, ajon (millet beer)and bottled lagers.“Traders come from as far as South Sudan, Kenya and Kampala,” confides the LC John Okello. “Times have changed. Thirty years ago boys trekked to Ocorimongin plucking akogo (thumb piano) but today they listen to FM stations on the mobile phones.”			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });					googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611604321-0'); });						googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674790852-0'); });			 Dry cassava chips is a food security gimmick used since time immemorial (Photo by Titus Kakembo) The market is the main revenue earner to the budding district with few taxable businesses in place. Medicines stolen from the government hospital find their way in the tree shade stalls.A look around for what has not changed was futile apart from whole roasted chicken with a price tag of sh12,000-sh15, 000. This is eaten with a huge mountain of steaming millet bread, a potato here and vegetables. The menu has  cuisines like ebileng (mud fish,) emolokony (cow hoof) leaving vegetarian ones for the less endowed.“Romantic couples dine out on tree stumps and wash the food down with a bottle of beer or tot pack of dry gin,” reveals Ronnie Ikara. “The combination makes any suitor eloquent, funny and brave to say what they can’t when sober.”Besides a good sell is worth celebrating by dining out and sipping some beverages. Many singles go to the market with their antennas on full alert for any marriage material.  The markets owes its name for being originally a weekly cattle selling and buying place. (Photo by Titus Kakembo) “The qualities treasured in an Itesot woman are: hospitality, hard work and a shape known as adusele (curvy),” says a veteran scribe Job Opolot. “In the past she was tested on a grinding sack of millet and brewing aperoi (millet beer)”As one saunters through the huge crowds music on public address systems tunes like Afrigo’s akon Ikoku eyauni emali oree are audible alongside Bobi Wine and Chameleon lyrics. In a nutshell, trendy supermarkets may be in place but Okison is too diverse to be replaced by them. With time these weekly markets are transforming to suit the prevailing times.Today they offer haircuts, rolex and cosmetics. The person to person communication between buyer and seller is still better than those in supermarkets.        				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 5th June 2019 07:00 PM       ,"Sheebah, Cindy beef hits the studio","						 Sheebah. File Photo					But as you read this, the beef that started from a critique to one part has taken yet another twist			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		It has been going on for the last few months. But the ostensible rift between two pop divas, Sheebah and Cindy, was only in verbal altercations.  Then, at a certain point the rift, popularized by both the mainstream and social media, descended to the fans. It was the fans arguing about “Who Is Who?” of the two artistes. But as you read this, the beef that started from a critique to one part has taken yet another twist. This time, a big, fundamental face that eliminates any signs and hopes of it ending soon. The beef is in the studio. Gloves off and bare knuckles, you can conclude. To climax the backlashes largely orchestrated by the media, Cindy released ‘Copy Cat’, an obvious nudge on Sheebah, who she criticizes for being “lacking in creativity.” As a reply to the attacks, Sheebah hit the studio to record 'Kimansulo' and 'Jealousy' which are believed to be counter diss tracks to Cindy. It is not clear who first released a song, but obviously, the songs are gaining momentum on the playlists of their fans. Radio, TV, and Online media are discussing the songs. In her Patois-themed single, Cindy insinuates that her nemesis is not original, who imitates them who are original, thus the tag “copycat.” Cindy takes the battle a notch higher. Her lyrics in the song loosely translate as, “If you think you compete with me and showing that you diss, why do you fright?”  Cindy is in the studio working on new material. File PhotoFor those who have followed the battle know that a music performance battle had been suggested, similar to what Bobi Wine and Bebe Cool had back in 2011. Cindy was upbeat and seemingly ready. Sheebah rejected it. So the line in Cindy’s song can be interpreted as a sarcastic jab to Sheebah’s perceived frights. In both media and the song, Sheebah has portrayed Cindy as a jealous, who is envious of her achievements. In Jealousy, Sheeba sings, “Shame upon you, know I am going nowhere. I will be in your ear, so you remember your biggest fear... When I have a nice hairstyle, it hurts. When I have a song, it hurts you…” Sheebah plays the victim card. Cindy, on the hand, minces no words. Earlier, when the musical performance battle was suggested, Cindy sarcastically noted, “We are not at the same level. Sheebah is a great artiste, she is very entertaining. She just needs a little more practice and then we can have a battle which is fair because it wouldn’t be fair to put me on a stage with Sheebah right now.” In another jab, Cindy called Sheebah a ""CD artiste"" who cannot perform with a live band and therefore a battle right now would just destroy her. “You cannot do a battle on CD. It has to be live,” Cindy provoked. Sheebah in a counterattack reminded Cindy that she has not built a house despite spending so many years in the music industry. As it rages, we can only hope it doesn’t go sour. Let us watch the space.				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
        Added 20th May 2019 02:09 PM       ,Politicking dominates burial of former Buganda Kingdom elder,"						 The Vice President, Edward Ssekandi lays the wreath at the burial ceremony of the former Pokino  of Buddu,Fredrick Mulindwa at  Nabyewanga village near Nkoni  palace in Lwengo district. (Photo by Dismus Buregyeya)					The burial ceremony which turned into a political platform for opposition leaders, attracted, Democratic Party (DP) President, Nobert Mao , over 30 MPs ,authorities from Mengo government  and the clergy.			googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496656157133-0'); });		POLITICS LWENGO- Vice President, Edward Ssekandi has mourned the former  Buganda Kingdom  representative for Buddu region, Fredrick Mulindwa, 81 describing him as a hero. “The death of Mulindwa is a big loss to the nation, the judiciary and the people of greater Masaka. He was my close friend since 1968,” he said. Mulindwa who also served as the chairperson of the departed Asians Custodian board, was buried on Sunday at Nabyewanga village near Nkoni palace in Lwengo district. The burial ceremony which turned into a political platform for opposition leaders, attracted, Democratic Party (DP) President, Nobert Mao , over 30 MPs ,authorities from Mengo government  and the clergy.   The DP President, Nobert Mao stressed the call for the Opposition parties to front one Presidential candidate for the 2021 elections as the only solution to oust President Museveni. “We should collectively shift our focus on ousting President Museveni in the 2021 elections by fronting one Presidential candidate, we should not get bothered by NRM MPs or LCs, those will automatically phase out,” he said.  He advised the Kampala Mayor, Elias Lukwago and the Mukono Municipality MP, Betty Namboze to return to DP.  He said DP is still strong and hopeful even after the 54 years of struggle to clinch the Presidential seat. “We must not lose hope, even the Christians are still waiting for the return of Jesus Christ, we shall send special envoy to talk to Lukwago and Namboze over the matter, we need them back home,” he said. The  Kampala Mayor, Elias Lukwago said the he was getting impatient of  the prolonged stay of President Museveni in power.   VP Ssekandi talking to the Bukoto East MP,Florence Namayanja at the burial. (Photo by Dismus Buregyeya) “Am now 49-years-old and out of those President Museveni has served for 33 years, we are waiting to be the leaders of tomorrow for long,” he said. Kyadondo  legislator, Robert Kyagulanyi aka Bobi Wine said he respects the Vice President, Edward Ssekandi and President Museveni as elders of the nation adding that  the nation will benefit from President Museveni if he retires peacefully.   “It’s time for President Museveni to retire, we still need his wisdom, we should be consulting him while in retirement,” he said. He warned the nation to desist from bloodshed. “We do not need bloodshed anymore,” he said. Kyagulanyi advised the youth to exhibit discipline during the campaign to drive youthful generation into leadership. 				googletag.cmd.push(function() { googletag.display('div-gpt-ad-1496657157715-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });							googletag.cmd.push(function() { googletag.display('div-gpt-ad-1518611800417-0'); });									googletag.cmd.push(function() { googletag.display('div-gpt-ad-1501674874561-0'); });					"
